"","Participant","Run","Block","Trial","Condition","Image","RestImage","ConditionOnset","ConditionResposne","ConditionRt"
"SON2_006.9","6",1,9,9,"neutral","33M_N.png","Context004.jpg",25.4164,"7&",0.9594
"SON2_006.10","6",1,10,10,"positive","09F_H.png","Context004.jpg",27.4782,"7&",1.4416
"SON2_006.11","6",1,11,11,"negative","15F_F.png","Context004.jpg",29.54,"7&",1.0759
"SON2_006.12","6",1,12,12,"positive","05F_H.png","Context004.jpg",31.6017,"7&",0.7501
"SON2_006.13","6",1,13,13,"negative","38M_F.png","Context004.jpg",33.6802,"1!",0.6156
"SON2_006.14","6",1,14,14,"negative","30M_F.png","Context004.jpg",35.742,"1!",1.0178
"SON2_006.15","6",1,15,15,"negative","17F_F.png","Context004.jpg",37.8038,"7&",0.796
"SON2_006.16","6",1,16,16,"positive","08F_H.png","Context004.jpg",39.9155,"7&",0.8284
"SON2_006.17","6",1,17,17,"negative","29M_F.png","Context004.jpg",42.1104,"1!",0.8174
"SON2_006.18","6",1,18,18,"neutral","08F_N.png","Context004.jpg",44.2387,"7&",1.0412
"SON2_006.19","6",1,19,19,"negative","33M_F.png","Context004.jpg",46.3836,"1!",1.1121
"SON2_006.20","6",1,20,20,"negative","31M_F.png","Context004.jpg",48.4454,"1!",0.9384
"SON2_006.21","6",1,21,21,"negative","37M_F.png","Context004.jpg",50.5405,"1!",0.7634
"SON2_006.22","6",1,22,22,"neutral","22M_N.png","Context004.jpg",52.6023,"7&",0.8214
"SON2_006.23","6",1,23,23,"neutral","37M_N.png","Context004.jpg",54.6641,"7&",0.9998
"SON2_006.24","6",1,24,24,"positive","20M_H.png","Context004.jpg",56.7424,"1!",1.1534
"SON2_006.25","6",1,25,25,"neutral","31M_N.png","Context004.jpg",58.7877,"1!",1.348
"SON2_006.26","6",1,26,26,"positive","01F_H.png","Context004.jpg",60.8661,"7&",0.5977
"SON2_006.27","6",1,27,27,"positive","22M_H.png","Context004.jpg",62.9446,"7&",0.9113
"SON2_006.28","6",1,28,28,"neutral","41M_N.png","Context004.jpg",65.023,"7&",0.7527
"SON2_006.29","6",1,29,29,"neutral","06F_N.png","Context004.jpg",67.1178,"7&",0.5298
"SON2_006.30","6",1,30,30,"positive","43M_H.png","Context004.jpg",69.163,"7&",0.7885
"SON2_006.31","6",1,31,31,"positive","02F_H.png","Context004.jpg",71.225,"1!",1.0787
"SON2_006.32","6",1,32,32,"neutral","16F_N.png","Context004.jpg",73.3035,"1!",1.0562
"SON2_006.33","6",1,33,33,"positive","32M_H.png","Context004.jpg",75.3653,"7&",0.8825
"SON2_006.34","6",1,34,34,"positive","17F_H.png","Context004.jpg",77.4271,"7&",0.7006
"SON2_006.35","6",1,35,35,"positive","33M_H.png","Context004.jpg",79.5554,"7&",0.8443
"SON2_006.36","6",1,36,36,"negative","21M_F.png","Context004.jpg",81.617,"1!",0.6867
"SON2_006.37","6",1,37,37,"neutral","01F_N.png","Context004.jpg",83.6622,"7&",0.8895
"SON2_006.38","6",1,38,38,"negative","08F_F.png","Context004.jpg",85.7074,"1!",0.8123
"SON2_006.39","6",1,39,39,"neutral","43M_N.png","Context004.jpg",87.7526,"7&",0.7032
"SON2_006.40","6",1,40,40,"negative","12F_F.png","Context004.jpg",89.8144,"1!",0.9853
"SON2_006.41","6",1,41,41,"neutral","27M_N.png","Context004.jpg",91.8596,"1!",1.0762
"SON2_006.42","6",1,42,42,"neutral","14F_N.png","Context004.jpg",93.9047,"1!",1.215
"SON2_006.43","6",1,43,43,"positive","30M_H.png","Context004.jpg",95.9497,"1!",1.2898
"SON2_006.44","6",1,44,44,"neutral","03F_N.png","Context004.jpg",98.0119,"1!",1.684
"SON2_006.45","6",1,45,45,"neutral","23M_N.png","Context004.jpg",100.1401,"7&",1.2195
"SON2_006.46","6",1,46,46,"negative","40M_F.png","Context004.jpg",102.2851,"1!",0.9466
"SON2_006.47","6",1,47,47,"positive","25M_H.png","Context004.jpg",104.347,"7&",1.4287
"SON2_006.48","6",1,48,48,"negative","13F_F.png","Context004.jpg",106.5252,"1!",0.8265
"SON2_006.49","6",1,49,49,"neutral","40M_N.png","Context004.jpg",108.6701,"7&",1.3056
"SON2_006.50","6",1,50,50,"negative","09F_F.png","Context004.jpg",110.865,"7&",1.375
"SON2_006.51","6",1,51,51,"negative","16F_F.png","Context004.jpg",112.9767,"7&",1.2793
"SON2_006.52","6",1,52,52,"neutral","26M_N.png","Context004.jpg",115.1382,"1!",0.8295
"SON2_006.53","6",1,53,53,"neutral","07F_N.png","Context004.jpg",117.2831,"7&",1.0368
"SON2_006.54","6",1,54,54,"negative","35M_F.png","Context004.jpg",119.478,"1!",0.7857
"SON2_006.55","6",1,55,55,"neutral","17F_N.png","Context004.jpg",121.6063,"7&",0.7374
"SON2_006.56","6",1,56,56,"neutral","38M_N.png","Context004.jpg",123.8343,"1!",0.6933
"SON2_006.57","6",1,57,57,"positive","18F_H.png","Context004.jpg",125.9294,"7&",0.7583
"SON2_006.58","6",1,58,58,"negative","39M_F.png","Context004.jpg",128.0079,"7&",0.9118
"SON2_006.59","6",1,59,59,"negative","27M_F.png","Context004.jpg",130.1362,"7&",0.8475
